FolderPath,PrefabName,InitPos,InitRot,GameObjectName,IntTL,SyncedTL
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hot_R_Y_G_Bus.prefab,914.156366/7.522834/-3541.229259,0.0/291.608072/0.0,C119AS300887,IC000000,SSN000014
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,913.618311/4.904455/-3543.986255,0.0/22.216322/0.0,C119AS301094,IC000000,SSN000035
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,918.826023/4.695238/-3529.447408,0.0/22.216322/0.0,C119AS301095,IC000000,SSN000035
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hot_R_Y_G_Bus.prefab,917.348831/7.361715/-3532.732019,0.0/111.427336/0.0,C119AS300888,IC000000,SSN000044
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hot_R_Y_G_Bus.prefab,791.245263/9.223812/-4212.465287,0.0/82.315855/0.0,C119AS300946,IC000391,SSN001724
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hot_R_Y_G_Bus.prefab,798.621759/9.179957/-4223.018353,0.0/267.666923/0.0,C119AS300947,IC000391,SSN001902
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hot_R_Y_G_Bus.prefab,798.951104/9.248727/-4226.306695,0.0/267.666923/0.0,C119AS300948,IC000391,SSN001902
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,800.279124/6.831119/-4232.501491,0.0/349.792234/0.0,C119AS301128,IC000391,SSN001371
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-2171.942217/19.225353/-7027.508870,0.0/253.070689/0.0,C119AS300753,IC000116,SSN000766
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hot_R_Y_G_Bus.prefab,-2172.680092/19.250978/-7023.377745,0.0/251.770164/0.0,C119AS300752,IC000116,SSN000766
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-5.014716/5.557603/-4.054370,0.0/105.444591/0.0,C119AS300751,IC000119,SSN001175
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-5.913966/5.551103/-6.865870,0.0/105.444591/0.0,C119AS300750,IC000119,SSN001175
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-590.713466/3.238353/-262.930370,0.0/316.450215/0.0,C119AS300749,IC000170,SSN001829
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-586.922466/5.091103/-267.467370,0.0/51.998811/0.0,C119AS300748,IC000170,SSN001890
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-570.095841/3.251228/-247.103745,0.0/135.665966/0.0,C119AS300747,IC000170,SSN001769
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-563.937466/5.074853/-254.802120,0.0/51.998811/0.0,C119AS300746,IC000170,SSN001890
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-566.142466/5.037228/-251.563745,0.0/51.998811/0.0,C119AS300745,IC000170,SSN001890
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-561.093966/5.178103/-265.552370,0.0/231.264210/0.0,C119AS300744,IC000170,SSN001952
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-557.565966/3.322353/-269.723120,0.0/135.665966/0.0,C119AS300743,IC000170,SSN001769
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-578.584716/3.053353/-286.262870,0.0/316.450215/0.0,C119AS300742,IC000170,SSN001829
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-582.352091/4.595728/-282.171495,0.0/231.264210/0.0,C119AS300741,IC000170,SSN001952
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-585.206466/4.784353/-278.555120,0.0/231.264210/0.0,C119AS300740,IC000170,SSN001952
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-3226.278217/6.172353/-2703.710871,0.0/311.572183/0.0,C119AS300739,IC000131,SSN000967
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-3217.504217/8.096353/-2707.408871,0.0/29.417949/0.0,C119AS300738,IC000131,SSN001061
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-3218.371467/8.284353/-2684.253371,0.0/304.675825/0.0,C119AS300737,IC000131,SSN000967
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-40.648216/3.652603/-20.009120,0.0/11.712952/0.0,C119AS300736,IC000119,SSN001224
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-20.939716/3.420853/-34.421370,0.0/281.507021/0.0,C119AS300735,IC000119,SSN001127
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-23.367716/5.430853/-34.199370,0.0/195.901077/0.0,C119AS300734,IC000119,SSN001274
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-26.263214/5.405283/-33.341080,0.0/195.901077/0.0,C119AS300733,IC000119,SSN001274
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-40.562466/5.614103/-16.406620,0.0/281.507021/0.0,C119AS300732,IC000119,SSN001127
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-39.285466/5.472103/-12.472870,0.0/281.507021/0.0,C119AS300731,IC000119,SSN001127
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-145.867895/-5.766148/-9.613544,0.0/231.812878/0.0,C119AS300730,IC000217,SSN001325
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Ver_R_Y_G.prefab,-145.548161/-5.809023/-9.088897,0.0/231.812878/0.0,C119AS300729,IC000217,SSN001325
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-153.853132/-5.656241/-0.034893,0.0/231.812878/0.0,C119AS300728,IC000217,SSN001325
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Ver_R_Y_G.prefab,-154.252953/-5.708244/-0.578660,0.0/120.032838/0.0,C119AS300727,IC000217,SSN001377
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,_R_Y_L_G.prefab,-180.512672/-5.492047/-16.930928,0.0/231.812878/0.0,C119AS300726,IC000217,SSN001325
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-425.225516/-5.919387/-156.553170,0.0/231.696446/0.0,C119AS300725,IC000152,SSN001652
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Ver_R_Y_G.prefab,-425.188757/-5.981777/-155.943699,0.0/231.696446/0.0,C119AS300724,IC000152,SSN001652
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-435.999668/-5.919047/-152.683902,0.0/231.696446/0.0,C119AS300723,IC000152,SSN001652
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Ver_R_Y_G.prefab,-436.130813/-6.013951/-153.351202,0.0/71.860364/0.0,C119AS300722,IC000152,SSN001710
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-877.700347/1.623723/-522.832710,0.0/315.988154/0.0,C119AS300721,IC000018,SSN002210
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hot_R_Y_G_Bus.prefab,-1507.424958/5.744913/-832.831839,0.0/247.644125/0.0,C119AS300720,IC000038,SSN000130
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hot_R_Y_G_Bus.prefab,-1554.268903/5.436739/-846.754268,0.0/66.808608/0.0,C119AS300719,IC000059,SSN000265
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-1997.891816/4.536956/-1048.981595,0.0/63.168789/0.0,C119AS300718,IC000021,SSN000070
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-1982.174738/2.273333/-1091.526855,0.0/243.470711/0.0,C119AS300717,IC000021,SSN000334
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-2000.255487/2.596753/-1091.116090,0.0/243.470711/0.0,C119AS300716,IC000021,SSN000334
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-1990.625498/4.733146/-1085.652130,0.0/152.493179/0.0,C119AS300715,IC000021,SSN000475
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-2021.705900/4.664024/-1066.794155,0.0/343.457476/0.0,C119AS300714,IC000021,SSN000142
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-2657.610671/4.626071/-1668.779886,0.0/122.992760/0.0,C119AS300713,IC000091,SSN000754
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-2684.661790/4.460288/-1649.333845,0.0/122.992760/0.0,C119AS300712,IC000091,SSN000754
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-2659.631912/4.791443/-1691.083315,0.0/262.327754/0.0,C119AS300711,IC000091,SSN000835
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-2675.926074/4.788859/-1714.949158,0.0/262.327754/0.0,C119AS300710,IC000091,SSN000835
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-2664.442702/6.589971/-1696.759553,0.0/123.255630/0.0,C119AS300709,IC000091,SSN000754
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-2662.146147/6.559877/-1693.491911,0.0/123.255630/0.0,C119AS300708,IC000091,SSN000754
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-2695.503874/4.418587/-1654.661308,0.0/33.859873/0.0,C119AS300707,IC000091,SSN000917
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-2718.219017/4.501573/-1685.999431,0.0/305.685823/0.0,C119AS300706,IC000091,SSN000674
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hot_R_Y_G_Bus.prefab,-2705.897050/6.832353/-1714.914861,0.0/37.060483/0.0,C119AS300705,IC000091,SSN000917
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-3201.872749/6.095970/-2662.552962,0.0/122.385659/0.0,C119AS300704,IC000131,SSN000874
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-3201.905568/6.164113/-2731.009105,0.0/311.572183/0.0,C119AS300703,IC000131,SSN000967
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-3658.402857/7.812666/-2912.390840,0.0/85.360012/0.0,C119AS300702,IC000027,SSN001349
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-4141.602454/5.374783/-2890.448000,0.0/193.375805/0.0,C119AS300701,IC000055,SSN000198
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-4154.060709/5.314683/-2926.103533,0.0/193.375805/0.0,C119AS300700,IC000055,SSN000198
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-4159.889888/5.327007/-2887.233187,0.0/94.372452/0.0,C119AS300699,IC000055,SSN000299
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-4192.294522/5.525343/-2927.129988,0.0/318.323185/0.0,C119AS300698,IC000055,SSN000400
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-4596.641925/8.169137/-2963.870053,0.0/253.053722/0.0,C119AS300697,IC000084,SSN000605
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-4821.593971/6.938313/-2994.959017,0.0/72.900435/0.0,C119AS300696,IC000114,SSN000920
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-4828.647742/8.361663/-2997.647776,0.0/162.855148/0.0,C119AS300695,IC000114,SSN000709
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-1545.218096/3.331034/-862.175283,0.0/237.659507/0.0,C119AS300694,IC000059,SSN000197
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-1503.643273/3.762514/-841.799548,0.0/63.252711/0.0,C119AS300693,IC000038,SSN000064
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-1517.521589/3.157120/-817.579937,0.0/63.252711/0.0,C119AS300692,IC000038,SSN000064
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-1506.160269/5.753563/-835.878585,0.0/242.334253/0.0,C119AS300691,IC000038,SSN000130
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-1504.624733/5.732544/-838.824880,0.0/242.334253/0.0,C119AS300690,IC000038,SSN000130
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-1534.753085/6.063625/-853.054652,0.0/237.659507/0.0,C119AS300689,IC000059,SSN000197
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hot_R_Y_G_Bus.prefab,-1538.562738/6.063625/-845.283453,0.0/243.243731/0.0,C119AS300688,IC000059,SSN000197
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-1535.981587/6.063625/-850.543060,0.0/237.659507/0.0,C119AS300687,IC000059,SSN000197
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-1527.209268/6.069757/-826.361716,0.0/63.252711/0.0,C119AS300686,IC000038,SSN000064
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-1525.801344/6.032904/-829.064427,0.0/63.252711/0.0,C119AS300685,IC000038,SSN000064
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hot_R_Y_G_Bus.prefab,-1523.027914/6.032904/-833.958877,0.0/63.312482/0.0,C119AS300684,IC000038,SSN000064
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-1555.951109/5.487069/-843.286321,0.0/63.033843/0.0,C119AS300683,IC000059,SSN000265
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-1557.651806/5.474574/-839.731866,0.0/63.033843/0.0,C119AS300682,IC000059,SSN000265
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-1558.215393/3.459722/-837.759413,0.0/237.659507/0.0,C119AS300681,IC000059,SSN000197
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-2006.183444/4.716254/-1063.010282,0.0/332.882092/0.0,C119AS300680,IC000021,SSN000142
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-2009.875931/4.696254/-1064.745992,0.0/332.882092/0.0,C119AS300679,IC000021,SSN000142
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-2010.708930/4.666254/-1071.216275,0.0/63.384282/0.0,C119AS300678,IC000021,SSN000070
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-2014.116254/2.026994/-1067.051865,0.0/332.909835/0.0,C119AS300677,IC000021,SSN000142
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-1988.361379/2.431151/-1053.774485,0.0/152.493179/0.0,C119AS300676,IC000021,SSN000475
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-1992.533064/4.621473/-1066.445821,0.0/63.384282/0.0,C119AS300675,IC000021,SSN000070
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-1994.423657/4.621473/-1063.065330,0.0/63.384282/0.0,C119AS300674,IC000021,SSN000070
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-2000.280381/4.621473/-1059.600266,0.0/152.493179/0.0,C119AS300673,IC000021,SSN000475
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-1985.173689/2.329097/-1083.027801,0.0/152.493179/0.0,C119AS300672,IC000021,SSN000475
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-1987.930867/4.668426/-1084.374115,0.0/152.493179/0.0,C119AS300671,IC000021,SSN000475
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-1988.227873/4.628569/-1078.303767,0.0/243.760373/0.0,C119AS300670,IC000021,SSN000334
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-2004.848975/4.615655/-1082.107032,0.0/243.760373/0.0,C119AS300669,IC000021,SSN000334
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-2003.074498/4.665760/-1085.532223,0.0/243.760373/0.0,C119AS300668,IC000021,SSN000334
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-1997.143697/4.654120/-1088.865557,0.0/332.882092/0.0,C119AS300667,IC000021,SSN000142
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-2008.183377/2.639361/-1094.250953,0.0/332.909835/0.0,C119AS300666,IC000021,SSN000142
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-2294.795357/5.772841/-1250.105068,0.0/230.580778/0.0,C119AS300665,IC000044,SSN000215
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-2296.478330/5.793192/-1247.951556,0.0/230.580778/0.0,C119AS300664,IC000044,SSN000215
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hot_R_Y_G_Bus.prefab,-2299.491267/5.809549/-1244.158182,0.0/232.428849/0.0,C119AS300663,IC000044,SSN000215
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-2309.930086/3.014481/-1230.570479,0.0/230.580778/0.0,C119AS300662,IC000044,SSN000215
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-2303.802526/3.111229/-1262.377651,0.0/230.580778/0.0,C119AS300661,IC000044,SSN000215
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-2319.948096/5.631591/-1241.562131,0.0/55.456002/0.0,C119AS300660,IC000044,SSN000289
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-2318.291235/5.612928/-1243.773013,0.0/55.456002/0.0,C119AS300659,IC000044,SSN000289
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hot_R_Y_G_Bus.prefab,-2315.661055/5.702569/-1247.889761,0.0/54.716819/0.0,C119AS300658,IC000044,SSN000289
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-2387.827042/5.517030/-1294.590978,0.0/53.854880/0.0,C119AS300657,IC000067,SSN000440
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-2385.969814/5.487030/-1296.600237,0.0/53.854880/0.0,C119AS300656,IC000067,SSN000440
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hot_R_Y_G_Bus.prefab,-2382.872001/5.581146/-1300.377457,0.0/51.230365/0.0,C119AS300655,IC000067,SSN000440
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-2360.688733/5.666946/-1302.950379,0.0/229.194424/0.0,C119AS300654,IC000067,SSN000364
